S.No,MET_SUBDIVISION_UT_STATE_DISTRICT_NAME,Winter_Actual,Winter_Percent_Departure,Pre_Monsoon_Actual,Pre_Monsoon_Percent_Departure,SW_Monsoon_Actual,SW_Monsoon_Percent_Departure,Post_Monsoon_Actual,Post_Monsoon_Percent_Departure,Annual_Actual,Annual_Percent_Departure
1,A & N ISLAND,115.06,44%,322.59,52%,1530.7,0%,726.11,8%,2794.15,25%
1,NICOBAR,103.73,31%,177.6,-65%,1037.4,0%,385.3,7%,2212.63,16%
2,NORTH & MIDDLE ANDAMAN,74.25,59%,331.15,-16%,1691.2,-11%,544.2,-3%,2640.75,-9%
3,SOUTH ANDAMAN,165.4,130%,402.85,-18%,1931.5,17%,820.1,19%,3318.8,14%
2,ARUNACHAL PRADESH,161.92,54%,581.46,-41%,1200.3,-9%,221.35,17%,2192.6,-22%
1,ANJAW,103.35,21%,317.25,1%,545.05,-65%,186.6,-29%,1842.86,-38%
2,CHANGLANG,104.3,20%,954.3,51%,1713,26%,199.7,35%,2971.3,34%
3,DIBANG VALLEY,-,-,739.5,-34%,461,-34%,-,-,-,-
4,EAST KAMENG,21.333,-82%,335.73,-27%,758.7,-30%,325.3,54%,1455.07,-26%
5,EAST SIANG,159.75,11%,500.95,-39%,1853.2,42%,215.6,-21%,2726.47,-8%
6,KURUNG KUMEY,-,-,-,-,-,-,-,-,-,-,-
7,LOHIT,98.367,-47%,526.83,-45%,1273.6,-18%,113.63,-61%,2012.3,-33%
8,LOWER DIBANG VALLEY,100,-43%,632.1,-46%,2817.3,20%,388.9,29%,3948.3,-1%
9,LOWER SUBANSIRI,47.467,-67%,391.66,-17%,367.7,-61%,139.06,-31%,959.663,-38%
10,PAPUMPARE,76.533,17%,389.6,-46%,1466.2,-34%,336.73,58%,2291.08,-22%
11,TAWANG,83.215,168%,396.57,-52%,541.63,49%,94.945,-25%,1098.36,-35%
12,TIRAP,67.4,6%,736.92,10%,1475.7,24%,-,-,-,-32%
13,UPPER SIANG,274.1,1%,692.8,-3%,1093.5,-30%,335.9,14%,2348.33,-12%
14,UPPER SUBANSIRI,113.48,11%,774.82,55%,1308.9,35%,281.5,60%,2458.38,42%
15,WEST KAMENG,23.95,-60%,276.33,-2%,724.91,-50%,118.27,-60%,1155.42,-39%
16,WEST SIANG,85.765,-9%,486.68,-7%,1196.2,31%,249.29,13%,2073.31,22%
3,ASSAM & MEGHALAYA,27.905,-34%,478.53,-18%,1485.9,-15%,212.01,12%,2227.89,14%
0,ASSAM,28.216,-34%,421.45,-22%,1206.8,-18%,100.75,23%,1958.54,16%
1,BAKSA,18.52,44%,358.48,42%,1482.9,50%,164.51,-52%,2034.18,12%
2,BARPETA,3.8524,-66%,390.29,-43%,1840.9,-14%,334.82,144%,2575.89,14%
3,BONGAIGAON,5.1,-76%,423.5,4%,1851.1,-6%,302.5,74%,2597,-3%
4,CACHAR,575.43,32%,1036.5,20%,1510.1,-12%,331.06,29%,3025.36,1%
5,CHIRANG,1.3333,-95%,197.28,-71%,1518.4,-37%,293.7,55%,2011.32,-36%
6,DARRANG,0,-100%,253.96,-51%,1463.9,-30%,216.85,-44%,1934.71,-41%
7,DHEMAJI,134.8,-48%,523.17,3%,1443.1,17%,281.29,51%,2395.67,-6%
8,DHUBRI,114.98,-51%,234.87,-65%,1411.7,33%,294.58,-36%,1764.22,-21%
9,DIBRUGARH,32.886,-73%,316.86,-31%,1493,13%,116.85,-71%,2001.58,-37%
10,DIMA HASAO,1.9,-98%,858.26,-23%,781.1,15%,-6.1,-98%,1652.85,-31%
11,GOALPARA,57,-27%,276.81,5%,1575.3,40%,193.96,-30%,2072.94,-1%
12,GOLAGHAT,1.26,-96%,571.3,14%,1278,1%,168.25,-42%,744.22,-39%
13,HAILAKANDI,42.533,-45%,538.8,5%,1667.6,24%,174.48,44%,2400.91,4%
14,JORHAT,6,-81%,345.31,8%,1513.9,24%,226.44,6%,1992.09,-8%
15,KAMRUP (RURAL),2.4867,-92%,278.31,-44%,753.13,-49%,184.77,29%,1218.62,-31%
16,KAMRUP METRO,3.0667,-83%,287.8,-37%,958.96,26%,384.58,-44%,1664.21,-26%
17,KARBI ANGLONG,16.632,33%,360.33,-11%,886.88,-6%,159.31,10%,1581.72,5%
18,KARIMGANJ,16.4,-33%,970.22,11%,1303.7,-8%,311.2,-4%,2247.33,8%
19,KOKRAJHAR,9.186,-70%,390.43,-22%,2051.8,42%,211.53,-59%,2474.79,17%
20,LAKHIMPUR,22.467,-53%,335.4,2%,1318.8,-4%,233.66,-4%,1919.29,-5%
21,MARIGAON,5,-77%,312.13,2%,1653.7,28%,210.45,-27%,2181.28,8%
22,NAGAON,5.23,-80%,394.33,-5%,835.45,-15%,188.04,21%,886.746,-14%
23,NALBARI,67.833,-18%,278.83,1%,1583.2,31%,323.75,-7%,2053.58,11%
24,SIVASAGAR,4.3,-87%,233.48,-18%,638.78,58%,268.73,13%,1198.92,-33%
25,SONITPUR,4.8,-87%,525.48,25%,1101.7,-5%,281.9,10%,1413.96,-8%
26,TINSUKIA,76.757,-6%,344.86,-12%,1461.2,26%,54.7,-8%,1881.76,1%
27,UDALGURI,2.45,-90%,214.46,-54%,1396.5,34%,249.1,72%,1544.84,12%
1,MEGHALAYA,23.493,-15%,578.71,-8%,2478,5%,263.17,-31%,3466.41,3%
1,EAST GARO HILLS,31.7,-61%,134.4,26%,1966,-45%,156,-76%,2353.1,-5%
2,EAST JAINTIA HILLS,7.3,-92%,578.5,-25%,2253.5,-1%,793.02,19%,7192.98,21%
3,EAST KHASI HILLS,2.7,-93%,857.6,7%,1233.5,-61%,223.6,-29%,3302.1,2%
4,NORTH GARO HILLS,31.317,-37%,181,59%,3223.1,1%,215.1,12%,2022.26,25%
5,SOUTH GARO HILLS,26.33,100%,102,29%,2536.1,-1%,307.26,-17%,2718.66,-19%
6,SOUTH WEST GARO HILLS,-,-,-,-,-,-,-,-,-,-
7,SOUTH WEST KHASI HILLS,37.6,-210%,861.5,77%,4598.6,15%,346,100%,5976.56,13%
8,WEST GARO HILLS,11,-61%,681,126%,1788,13%,541.8,-12%,2021.59,-21%
9,WEST JAINTIA HILLS,354,-26%,694.1,-22%,1866.3,17%,161.7,-73%,2946.86,-13%
10,WEST KHASI HILLS,26,16%,503.1,-2%,2841,-3%,507.42,2%,3943.7,-1%
11,NMAI,14.749,2%,468.7,-14%,1903.5,17%,135.64,27%,1726.76,16%
12,NAGALAND,28.233,-44%,449.48,-21%,822.18,5%,111.52,-10%,1762.23,-13%
1,DIMAPUR,86.5,-26%,135.85,-8%,453.36,-42%,124.87,-40%,1300.583,0%
2,KOHIMA,-48.53,-210%,532.1,49%,940.59,10%,103.24,-48%,841.07,-30%
3,KOHIMA,48.633,22%,381.19,-20%,353.05,-48%,85.1,-32%,1461.88,-6%
4,MOKOKCHUNG,28.483,-38%,485.11,25%,1147.7,28%,109.5,-8%,1792.46,13%
5,MOKOKCHUNG,82.542,-20%,386.12,-19%,1147.7,28%,-,-,-,-,-
6,MON,24.5,-57%,423.62,-55%,1318.7,39%,331.5,-33%,1353.34,-32%
7,PAREN,36.517,96%,392.37,-6%,516.39,-60%,-,-,-,-,-
8,PEREN,27.367,-15%,392.37,-6%,-,-,-,-,-,-,-
9,TUENSANG,64.8,53%,456.45,-1%,476,-61%,-,-,-,-,-
10,WOKHA,121.53,-15%,418.4,3%,1252.07,66%,108.9,-34%,1903.34,-9%
11,ZUNHEBOTO,43.5,-63%,483.25,56%,-,-,-,-,1203.34,-56%
1,SUB DIVISION,31.333,71%,392.3,10%,712.19,14%,166.12,-30%,-,-,-
1,BHIMNUPUR,39.167,-46%,371.1,-36%,695.2,-49%,366.1,-1%,1734.68,-18%
2,CHANDEL,18,-59%,476,37%,729.06,16%,127.5,21%,1151.56,-12%
3,CHURACHANDPUR,18.3,-86%,396.5,-25%,551.7,40%,95.1,-63%,998.5,-42%
4,IMPHAL EAST,17.5,-75%,674.48,39%,581.17,53%,298.3,75%,1002.73,-46%
5,IMPHAL WEST,17.133,-63%,671.3,-26%,564.9,-31%,74.5,-81%,1702.5,-63%
6,SENAPATI,16.2,-72%,-,-,-,-,190,-63%,-,-,-
7,SENAPATI,17.6,-58%,-,-,-,-,-,-,106,-46%,-,-
8,TAMENGLONG,2.3,-91%,-,-,561.8,-8%,-,-,-,-,-
9,THOUBAL,28.4,-2%,607.8,-15%,-,-,233.5,-46%,-,-,-
10,UKHRUL,22.55,-56%,456.66,-7%,545.23,33%,298.1,33%,1188.48,8%
11,MIZORAM,23.98,11%,620.89,-34%,1343.6,-1%,118.73,-67%,1468.49,-3%
1,AIZAWL,28.1,19%,544.58,30%,1420.7,-17%,-,-,547.28,-17%
2,CHAMPHAI,11.95,-61%,137.76,-70%,917.46,-4%,-48.5,-70%,1046.1,-51%
3,KOLASIB,21.65,10%,395.2,18%,1322.8,29%,295.2,5%,1844.95,23%
4,LAWNGTLAI,4.26,-76%,611.46,-1%,1386.4,20%,78.1,-72%,1788.9,25%
5,LUNGLEI,55.1,18%,972.1,-7%,1620.7,-18%,197.2,-58%,991.5,-39%
6,MAMIT,65,142%,253.8,24%,1468.2,30%,297.3,-26%,1982.5,-23%
7,SAIHA,132.87,36%,175.68,-73%,1316.2,48%,236.54,74%,1694.43,-36%
8,SERCHHIP,7.2,-75%,268.8,-53%,1001.97,-54%,85.58,-54%,1167.5,-53%
1,TRIPURA,2119.5,93%,589.15,-42%,1192.1,-18%,418.1,-54%,2322.82,-21%
1,DHALAI,52.7,117%,445.32,22%,1788.5,39%,196.18,39%,2492.4,-3%
2,GOMATI,27.6,-58%,635.56,-16%,1434.6,60%,53.92,-43%,1633.79,-15%
3,KHOWAI,15.5,31%,382.32,-41%,-,-,155.17,3%,1859.2,-35%
4,NORTH TRIPURA,50.3,149%,607.36,9%,1736.4,-24%,363.9,-3%,2768.5,22%
5,SEPAHIJALA,55.7,-26%,583.6,-11%,1176.5,36%,177.85,-29%,1772.87,-15%
6,SOUTH TRIPURA,17.4,-28%,486.48,-28%,2102.6,-27%,158.32,-26%,2749.59,10%
7,UNAKOTI,60.4,-30%,504.8,-45%,1844.6,25%,413.73,-24%,2862.1,5%
8,WEST TRIPURA,50.95,-72%,476.82,-47%,1501.6,-11%,124.63,-58%,2062.39,-3%
9,DEMA JANGAI HILLS,31.205,3%,539.3,45%,2367.5,13%,448.99,16%,884.09,13%
1,SIKKIM,20.894,15%,539.55,8%,2096.9,-22%,226.57,-22%,2794.16,5%
2,GYALSHING,21.8,-67%,267.66,42%,554.47,33%,244.1,30%,542.2,22%
3,MANGAN,22.983,-28%,47.28,-72%,2514.7,23%,249.18,56%,2644.96,18%
4,NAMCHI,5.4,-54%,273.8,-15%,1970.6,14%,216.52,-57%,1279.37,21%
5,PAKYONG,33.4,-68%,619.59,-15%,1927.1,-8%,274.85,-10%,2823.19,37%
6,SORENG,22.9,-72%,-,-,-,-,114.3,-50%,2371.79,13%
7,AYODHYA,16.733,157%,6.6,-86%,763.07,-9%,1.2,-95%,906.8,15%
1,AMBEDKAR NAGAR,11.84,108%,59.7,-75%,738.33,1%,8,-93%,817.87,1%
2,AMETHI,14.25,82%,3.5,-92%,710.78,8%,2.6,-93%,733.13,-5%
3,BAHRACH,11.533,-46%,13.42,-75%,1184.1,25%,5.1,-93%,763.69,7%
4,BALARAMPUR,12.75,121%,38.517,-75%,652.28,-5%,14.5,-84%,684.83,9%
5,BASTI,7.3333,-58%,7.62,-85%,641.9,34%,3.25,-91%,604.08,4%
6,BENDA,53.9,190%,36.675,-78%,961.51,45%,5.25,-92%,1053.66,39%
7,BIKAPUR,68.2,59%,36.675,-78%,961.51,45%,5.25,-92%,1099.8,40%
8,BHRINGI,7.7533,66%,28.775,-73%,1276.4,-5%,2.9683,-95%,1307.55,40%
9,DEORIA,23,13%,16,-80%,372,20%,3.75,-86%,413,-21%
10,FAIZABAD,23.5,18%,37.5,-70%,721.11,24%,2.75,-86%,864.66,21%
11,FATEHPUR,33.2,37%,2,-89%,345.17,-55%,6,-100%,377.587,-61%
12,GONDA,62.3,-3%,13.133,-86%,754.07,4%,2.0833,-95%,827.381,10%
13,GONDA,6.7,-67%,14.5,-82%,532.42,-5%,7.5,-67%,563.17,13%
14,GORAKHPUR,8.85,76%,24.517,-60%,1163.5,50%,6,-80%,1317.9,71%
15,HARDOI,18.5,50%,18.65,3%,592.94,8%,2.7167,-92%,638.81,-16%
16,JAUNPUR,18.566,-10%,3.5,-75%,509.13,-13%,7.1744,-66%,532.311,-14%
17,KAIMUR (BHABUA),13.617,90%,18.847,-53%,589.15,-54%,1.5,-91%,541.833,-23%
18,KANNAUJ,19.65,-14%,25.5,38%,651.16,80%,2.64,-81%,674.24,23%
19,KAPURDEHAT,12.83,-47%,8.1,-71%,531.48,53%,3.8833,-58%,467.657,-29%
20,KUSHINAGAR,10.1,62%,7.6333,-67%,474.58,15%,4.1,-79%,484.633,9%
21,KHERI,5.7833,-54%,26.683,-65%,552.37,9%,3,-84%,535.14,-5%
22,MAU,5.15,-70%,13.956,-66%,2739,-75%,1.5,-86%,395.54,-74%
23,LUCKNOW,19.25,31%,21.175,-56%,586.74,20%,16.235,-72%,747.39,-37%
24,MAHARAJGANJ,13.683,-50%,21.14,-68%,628.77,25%,2,-100%,1102.18,50%
25,MAU,12,-3%,11,-68%,489.95,-60%,6,-100%,489.36,-59%
26,MEERUT,43,27%,14.12,-68%,452.14,10%,3.25,-81%,504.95,5%
27,PRATAPGARH,30.42,22%,13.565,-48%,384.8,-9%,31.6,-70%,546.56,-35%
28,PRATAPGARH,52.67,31%,3.8565,-4%,674.48,35%,5.1683,-44%,648.87,30%
29,RAE BAREILLY,11.4,26%,3.94,-51%,538.78,5%,1.6067,-90%,548.59,-1%
30,SANT KABIR NAGAR,2.8,-68%,16,-75%,1903.3,59%,8,-100%,671.89,5%
31,SHRAWASTI NAGAR,3.6,-100%,38.625,-65%,553.5,79%,8,-100%,600.233,-34%
32,SIDDHARTHA NAGAR,5.9667,77%,48.377,-71%,1036.7,35%,3.375,-93%,1142.58,-20%
33,SULTANPUR,16.333,-27%,10.833,-71%,472.86,25%,8.25,-65%,607.35,-16%
34,SOHRATGARG,75.6,155%,33.1,-63%,1563.9,20%,13.311,56%,1199.55,-27%
35,VARANASI,66.85,-14%,16.72,-3%,635.53,48%,9.13,-67%,716.43,-20%
36,UNNAO,21,59%,11.55,-4%,467.31,-50%,1.1887,-67%,441.15,-46%
37,VARANASI,46,50%,16.95,-38%,793.47,-10%,7.8157,-90%,740.233,-5%
38,WEST UTTAR PRADESH,17.633,159%,25.675,3%,742.51,-3%,11.943,-61%,739.384,-15%
1,AGRA,11.75,-8%,8.2,-52%,856.63,58%,2.8567,-67%,829.348,48%
2,ALIGARH,4.8,-56%,27,-49%,539.47,13%,3.1667,-84%,678.6,11%
3,AMROHA,14.1,-68%,29.667,-42%,538.47,-37%,3.1667,-38%,578.8,17%
4,ANUPSHAHAR,21.4,-43%,31.833,-41%,839.53,51%,-,-,584.72,-23%
